text,label
kamar kosong ada?,check_availability
ada kamar kosong?,check_availability
yang available apa saja?,check_availability
apakah ada kamar sharing kosong?,check_availability
single ada?,check_availability

harga kamar berapa?,ask_price
harga sharing berapa?,ask_price
sewa per bulan berapa?,ask_price
biaya kamar single?,ask_price

saya mau survey kost,book_visit
mau lihat kamar besok,book_visit
booking kunjungan tanggal 2025-12-28,book_visit

ac kamar rusak,create_ticket
air bocor di kamar,create_ticket
lampu mati di kamar,create_ticket

fasilitasnya meliputi apa saja?,ask_facilities

halo,general
terima kasih,general
